Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:43,Lenovo PB2-690Y,14:ae:db:c1:ad:7d,shweiger1,47,32.17243758,34.81296682,1,0,0,0,,14:ae:db:c1:ad:7d,shweiger1,1,-84,32.17243758,34.81296682,47,01/12/2017 10:43
01/12/2017 10:43,SM-G950F,14:ae:db:cc:ed:6d,KarvatB0.5,22.81899152,32.17226522,34.81421445,1,4.0756E-09,1.4298E-09,1.2936E-09,,14:ae:db:cc:ed:6d,KarvatB0.5,48,-89,32.17226522,34.81421445,22.81899152,01/12/2017 10:43
01/12/2017 10:58,Lenovo PB2-690Y,14:cc:20:09:3c:b9,sirocco_2.4o,36.56723013,32.17109863,34.81304547,1,1.2274E-09,1.3908E-09,8.149E-10,,14:cc:20:09:3c:b9,sirocco_2.4o,11,-83,32.17109863,34.81304547,36.56723013,01/12/2017 10:59
01/12/2017 11:11,Lenovo PB2-690Y,14:cc:20:76:b8:2a,Oded,37.16459367,32.1706829,34.81264553,1,9.46242E-05,5.38364E-05,0.259544723,,14:cc:20:76:b8:2a,Oded,11,-65,32.17077752,34.81269937,37.42413839,01/12/2017 10:45
01/12/2017 10:45,Lenovo PB2-690Y,14:cc:20:76:c0:8e,TP-LINK_76C08E,39.44834441,32.17103643,34.81278406,1,0.000198497,4.16591E-05,0.077535661,,14:cc:20:76:c0:8e,TP-LINK_76C08E,1,-84,32.17083793,34.8127424,39.52588007,01/12/2017 11:06
01/12/2017 11:00,Lenovo PB2-690Y,14:cc:20:da:ab:9a,Fuck Off,33,32.16902986,34.81190459,1,0,0,0,,14:cc:20:da:ab:9a,Fuck Off,11,-77,32.16902986,34.81190459,33,01/12/2017 11:00
01/12/2017 10:58,Lenovo PB2-690Y,16:0c:c3:ee:27:39,Is,33.48002461,32.17049911,34.81357876,1,8.13294E-10,5.70203E-10,9.30797E-10,,16:0c:c3:ee:27:39,Is,6,-83,32.17049911,34.81357876,33.48002461,01/12/2017 10:58
01/12/2017 10:57,SM-G950F,16:ae:db:c1:ae:55,Fuck Off Yourself,27.21999505,32.16927107,34.81201045,1,2.4691E-09,1.97721E-09,2.5649E-09,,16:ae:db:c1:ae:55,Fuck Off Yourself,9,-79,32.16927107,34.81201045,27.21999505,01/12/2017 10:57
01/12/2017 10:58,Lenovo PB2-690Y,18:1e:78:86:03:15,HOTBOX-F028,35.32725113,32.1705157,34.81357943,1,1.214E-09,7.08596E-10,4.08988E-11,,18:1e:78:86:03:15,HOTBOX-F028,1,-61,32.1705157,34.81357943,35.32725113,01/12/2017 10:58
01/12/2017 11:05,SM-G950F,18:cc:23:00:18:45,gononsmarthome,35.16075161,32.17043486,34.81119073,1,3.01704E-10,1.9151E-09,1.8913E-09,,18:cc:23:00:18:45,gononsmarthome,3,-89,32.17043486,34.81119073,35.16075161,01/12/2017 11:05
